"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Oct 06 17:18:13 IST 2023","Fri Oct 06 17:18:16 IST 2023","2182","","","","","","Test submenu and button on the OEM-Friendly page",""
"skipped","Fri Oct 06 17:18:19 IST 2023","Fri Oct 06 17:18:21 IST 2023","2150","","","","","","Test submenu and button on the Cloud page",""
"skipped","Fri Oct 06 17:18:11 IST 2023","Fri Oct 06 17:18:13 IST 2023","2709","","","","","","Test submenu and button on the Monetizing AI + ML page",""
"skipped","Fri Oct 06 17:18:03 IST 2023","Fri Oct 06 17:18:04 IST 2023","1067","","","","","","Test submenu and button on the No Compromises page",""
"passed","Fri Oct 13 18:30:07 IST 2023","Fri Oct 13 18:30:57 IST 2023","49996","","","","","","Test buttons and links on the Home page",""
"skipped","Fri Oct 06 17:18:23 IST 2023","Fri Oct 06 17:18:25 IST 2023","1733","","","","","","Test submenu and button on the Kafka + Streaming Data page",""
"skipped","Fri Oct 06 17:18:07 IST 2023","Fri Oct 06 17:18:09 IST 2023","1526","","","","","","Test submenu and button on the Geo Replication page",""
"skipped","Fri Oct 06 17:18:21 IST 2023","Fri Oct 06 17:18:23 IST 2023","1980","","","","","","Test submenu and button on the Edge page",""
"skipped","Fri Oct 06 17:18:25 IST 2023","Fri Oct 06 17:18:27 IST 2023","1970","","","","","","Test submenu and button on the Billing Mediation Data page",""
"skipped","Fri Oct 06 17:18:09 IST 2023","Fri Oct 06 17:18:11 IST 2023","2234","","","","","","Test submenu and button on the High Availability page",""
"skipped","Fri Oct 06 17:18:05 IST 2023","Fri Oct 06 17:18:07 IST 2023","1532","","","","","","Test submenu and button on the Capabilities page",""
"skipped","Fri Oct 06 17:18:16 IST 2023","Fri Oct 06 17:18:19 IST 2023","3068","","","","","","Test submenu and button on the Real-Time Decisioning page",""
"skipped","Fri Oct 06 17:18:27 IST 2023","Fri Oct 06 17:18:27 IST 2023","473","","","","","","Test submenu and button on the BSS page",""
"skipped","Fri Oct 06 17:18:04 IST 2023","Fri Oct 06 17:18:05 IST 2023","998","","","","","","Test submenu and button on the Volt For 5g page",""
